komentar,labels
Thank you ya gan. Btw mohon dibantu terus ya filturnya,1
maknyus lah,1
"sudah sering dengan pak sony, memuaskan",1
Siiip sangat membantu,1
Mantab tenan,1
ok sudah selesai penkerjaannya,1
thx,1
"Bagus, semoga dapat bekerja sama di projek selanjutnya.",1
"ok trims bung sonny, project is done, namun tetap diharapkan selalu support nya ya..",1
"Sesuai yang di harapkan, tingkatkan terus. semoga bisa bekerja sama lagi.",1
Terima kasih Mas Sony telah mengerjakan Card Management System dengan cermat dan tekun.,1
Semoga sukses selalu.,1
joossssss recommended,1
ok aplikasi,1
"trims sonny, job udh done",1
"Makasih mas anang sudah bantu, semoga berkah dan di beri kesehatan selalu. Semoga bisa bantu project lagi mas",1
respon bagus,1
recommended worker,1
Tidak ragu untuk selalu memakai jasa Bapak ini hehehe...,1
Terima kasih sudah mengerjakan project saya sesuai dg yang saya deskripsikan.,1
"Mantap, sangat profesional dan berkomitmen tinggi. Recommended Worker...",1
Mantaps... Fast respon dan sesuai dengan tujuan akhir. Semoga bisa terus bekerjasama :),1
hasilnya bagus,1
Kerja bagus. Pertahankan terus.,1
Syukron atas bantuannya,1
"worker satu ini TOP BGT dah, kerjaannya bagus dan memuaskan. komunikasi dan negosiasi jg bagus. recommended worker.",1
Kerjanya baik dan sesuai dengan yang dibutuhkan ,1
Hasil kerja sesuai pesanan,1
"Recommended worker, problem quickly solve. pdahal ada bbrp tambahan job, tp worker dengan sabar menanggapi.",1
"Good, script yang bermanfaat",1
"Mantep nih bro projectnya dilakukan dengan cepat. Semuanya baik-baik saja. Setelah saya bayar, langsung di kirim projectnya ga lebih dari sehari. Terima kasih bro.",1
good job. sangat sabar dalam menanggapi respon dari user,1
"worker yang ramah dan sabar, pekerjaan selesai dan professional, walaupun molor agak lama dari deadline yang sudah ditentukan",1
"saya menilai pak sony ini bagus, tapi sering miskom, saran saya adalah jika ada task yang benar2 belum mengerti, pastikan dengan selalu inisiatif bertanya sampai masing2 mempunyai persepsi yang sama",1
"pada awalnya soni cukup asik diajak kerjasama, sampai menerima bayarannya, pada akhirnya menurut kami soni cukup sebagai programmer, tidak ada yg bisa diharapkan lebih",1
"Good Worker, komunikatif dan responsive.",1
App nya sudah ok tp masih blm fix jadi minta tlg untuk tetap di support ya mas,1
"god job, hanya kurang lebih 5 jam, pekerjaan beres",1
hasil project sudah di terima dengan baik dan proses komunikasi lancar,1
"Ramah & bertanggung jawab mungkin itu saja yang bisa saya berikan penilaian sejauh ini, next time saya akan hubungi lagi jika ada project lain",1
Cara kerja cepat,1
respon cepat baik via ym maupun web projects,1
hasil pekerjaan maksimal,1
kemampuan coding worker ini tinggi.. jadi bisa menyelesaikan masalah website dengan mudah,1
"mantap, worker mudah diajak komunikasi",1
Hasil tulisan baik dan sesuai dengan keinginan kami.,1
Profesional dan berkualitas,1
Fast and amazing work!,1
Pengerjaan cepat dan hasil memuaskan!,1
Mantap kerjaannya  ,1
pengerjaan cepat dan memuaskan,1
"Mantap, mampu berkerja cepat dan hasil sangat memuaskan.",1
"mantap, terima kasih kerjasamanya mba, sudah saya terima semua artikelnya.",1
Good job and welldone,1
wait for repeat order,1
"Thank you puas as usual, tapi mungkin untuk judul bisa lebih diperbaiki yaa",1
Worker dapat bekerja dengan efektif dan hasil yang optimal.,1
pekerjaan selesai dan dikerjakan dengan baik,1
Makasih shara ditunggu necxt projectnya,1
"Paling enak memang kalau hire mba Shara. Cepat, tepat waktu, dan kualitas bagus!",1
"Terimakasih mba, saya hire lagi ya",1
Bekerja sama dengan mba shara selalu menyenangkan dan lancar. Hasil pekerjaan selalu bagus dan sesuai ekspetasi. Semoga bisa bekerja sama di project selanjutnya,1
"terimakasih kak, pengerjaan artikel cepat, menerima revisi, dan worker ramah~^^",1
Hasil pekerjaan sesuai dengan yang diharapkan.,1
Bagus dan mengikuti instruksi.,1
great job! keep up the good work ,1
Mantap.. terimakasih mbak. Semoga sukses selalu.,1
Writer sangat kompeten dan kooperatif.,1
Senang bisa bekerjasama kembali!,1
Pengerjaan cepat dan sesuai instruksi.,1
terima kasih banyak mbak sudah dapat mengerjakannya tepat waktu :),1
"Gaya penulisannya bagus, worker nya mantab..",1
Pengerjaan sesuai instruksi dan disertai referensi. Good Job,1
"Kali ini lewat dari deadline karena sakit + banyak proyek. Tapi dia masih mengerjakan sampai tuntas, dengan baik.",1
cepat... selesai sebelum deadline,1
Pengerjaan tepat waktu dan artikel yang dibuat juga bagus dilengkapi laporan artikel bukan plagiat didalamnya.,1
"Sangat baik dalam berkomunikasi dan selalu memastikan terkait dengan keinginan owner agar tidak salah dalam mengambil langkah, good job!",1
"Worker bekerja dengan waktu yang cukup tepat, hasil pekerjaan baik dan rapih. Komunikasi cukup fleksibel dan sesuai dengan apa yang telah disepakati. Terima kasih atas kerja sama ini.",1
"Dapat bekerjasama dengan baik, menyelesaikan tugas dengan bertanggungjawab dan sigap. Komunikasi juga dilakukan dengan baik, tidak sulit dihubungi. Data responden yg diterima valid. Great work!",1
"Tidak ada kata yang bisa dijeelaskan selain ""KEREN BANGET"". Sukses terus ya ^^",1
"Walaupun deadline terlewat 2 bulan kendala teknis, namun worker masih mau bertanggung jawab.",1
"Kerja sangat cepat dan tanggap, respon dalam berkomunikasi juga sangat ramah",1
"Hasil kerja sesuai dengan yang saya minta, proses pengerjaan cepat, komunikasi dan koordinasi mudah. Terimakasih atas bantuannya ",1
"Terimakasih, tulisannya bagus dan rapi, senang bekerjasama dengan kakak. ",1
"Nice, meskipun ada kendala writer tetap berusaha memenuhi tugasnya",1
"pekerjaan selesai dengan baik, artikel enak dibaca dan keunikan 100%",1
"Mengerti dan sesuai requirement yang dibutuhkan, ditunggu progress dan kerja sama project berikutnya ya mas",1
"Worker kerja secara professional, cepat tanggap dengan arahan yg sangat minim.",1
"Worker selalu fast respon , ramah salam berkomunikasi , dan pekerjaannya di selesaikan sebelum batas waktu yang di tentukan ????",1
"Worker handal membuat desain baju dan dapat mengerti keinginan customer. Jika ada revisi perbaikannya juga cepat dan memuaskan. Setiap desain yang disubmit selalu dengan banyak desain jadi customer bisa memilih dari desain-desain yang dibuat, jika kurang sesuai worker mau membuatkan desain yang baru dan juga dengan alternatifnya. ",1
Mantap. Walaupun banyak revisi,1
"Resna telah menyelesaikan pekerjaan dengan baik, smoga bisa bekerjasama dengan lebih baik lagi di kemudian hari. Thanks",1
"Terimakasih mas resna buat pekerjaannya, Respon sampai akhir file diselesaikan.",1
"terimakasih , recomended worker ,, tinggal diatur skedul nya aja biar bisa lebih tepat waktu",1
"bagus, mungkin slowrespon aja..tpi no problem",1
"Semoga sukses selalu mas, rezekinya selalu berkah dan bermanfaat :)",1
"Mudah menangkap kemauan client, gambar halus, kreatif, pengerjaan cepat, Recommended Worker",1
oke mbak / mas terima kasih sudah di edit..,1
terima kasih atas kerjasamanya. semoga kita bisa terus bersinergi kedepannya & win-win solution.,1
"overall pengerjaan bagus dan menarik, worker juga mau diarahkan sesuai kemauan kami. TOP abis",1
"Desain yang dihasilkan sesuai dengan kebutuhan untuk usaha distro saat ini.. memberikan banyak pilihan desain juga, jadi kami leluasa untuk memilih desain yang sesuai dengan kebutuhan kami.. ",1
"worker sangat cepat dalam menyelesaikan pekerjaan , komunikatif dan mengerti semua yang diminta . mantap  !",1
"Walau berkali 2x gagal meyakinkan owner, krn worker kurang banyak menggali informasi dari owner, ya akhirnya pekerjaan itu selesai juga. dan bagus.",1
"Sangat Komunikatif , Kreatif dan Humble ",1
Worker bekerja sangat cepat dengan hasil yang memuaskan. Worker yang seperti ini yang kami butuhkan. Semoga bisa bekerjasama di project kami berikutnya.,1
pokoknya bagus dah,1
hasil pekerjaan diluar ekspektasi,1
Kerjanya sangat bagus. Hasil yang saya dapatkan sesuai dengan keinginan saya dan sangat gampang untuk mengkomunikasikan keinginan saya kepada Resna,1
"Fleksible dengan revisi, kerja cukup cepat dan kualitas baik.",1
Hasilnya baguuuss,1
hasil kerja bagus dan memuaskan ,1
pekerjaan sudah selesai. terima kasih.,1
"Kinerjanya bagussss, komunikasinya lancar jayaa.. next project  insya allah pake jasa kk lagi.. thank youu",1
"Respon cepat sesuai dengan kebutuhan pekerjaan, komunikasi lancar, good job pokoknya",1
bekerja dengan baik. komunikasi lancar,1
"Terima kasih atas kerjasamanya, project saya selesai tepat pada waktunya dan data nya sesuai dengan yang saya inginkan, Good Job!",1
Ini sudah kedua kalinya bekerja sama dalam suatu project. Saya menghormati & menghargai kinerjanya mbak Tiara yg memuaskan. Namun saya juga mengharapkan hal demikian ke saya. Terima kasih sebelumnya  ,1
oke oke oke okee,1
"Pekerjaan telat 2 minggu karena lebaran, tetapi hasil kerja oke dan fast respon",1
"respon cepat, hasil ok",1
"Lain kali kalau ada apa-apa dikabarin mas jangan ngilang terus lalu diancem arbitrase baru muncul lagi, bukannya sy gak menghargai kalo mas sakit atau apa, tapi pertanyaan sy kenapa weekend ini sakitnya tpi dari 2 minggu lalu hrusnya udh selesai lalu gk selesai"" ? ditambah lgi hasil nya pertama kali dikirim kacau bgt gak ad yg work satupun makanya sy lngsng marah kayak gitu",-1
Perlu ditingkatkan kualitas pemilihan kata dan pendalaman materi,-1
Kali ini keteteran karena lagi banyak proyek,-1
durasi projectnya terlewat dari kesepakatan..,-1
"artikel tetep bagus, namun pengiriman artikel terlambat setengah bulan, semoga kedepannya dapat sesuai kesepakatan dengan lebih baik lagi dalam bekerja secara profesional.",-1
kurang sesuai dengan ekspektasi,-1
Terus terang saya kecewa karena penantian saya yang cukup lama ini belum sebanding dengan hasilnya. Padahal saya sangat berharap banyak karena hasil gambar ini untuk souvenir nikah saya. Tapi tetap saya sampaikan terima kasih banyak atas usahanya. Smoga service Mas ke depannya akan bisa lebih baik. Mohon maaf jika ada kata yang kurang berkenan. Terima kasih.,-1
Pekerjaannya belum selesai ya Mas,-1
lebih Profesional setiap menerima Kerjaan,-1
misscom dari awal ,-1
pastikan kalau menerima order paham betul deal awalnya seperti apa ,-1
pengerjaan masih kurang detail ,-1
cukup deadliner dimana responden baru terkumpul di detik detik akhir deadline,-1
hasil pekerjaan tidak sesuai dengan yang diminta,-1
Tidak sesuai dengan ekspektasi.,-1
Penuh dengan kesalahan.,-1
Kualitasnya buruk.,-1
Terlambat diselesaikan.,-1
Sulit diajak komunikasi.,-1
Lambat merespon pesan.,-1
Tidak informatif.,-1
Tidak sopan.,-1
Tidak bertanggung jawab.,-1
Tidak disiplin.,-1
Tidak teliti.,-1
Mudah menyerah.,-1
Tidak direkomendasikan.,-1
Pengalaman yang mengecewakan.,-1
Buang-buang waktu dan uang.,-1
Menyesal menggunakan jasanya.,-1
Pekerjaan tidak sesuai dengan ekspektasi dan terlambat. Tidak direkomendasikan.,-1
Pekerjaan tidak bagus dan lambat.,-1
"Pekerjaan tidak bagus, pekerja sulit diajak komunikasi, dan tidak sesuai dengan ekspektasi. Terima kasih atas usaha yang minim.",-1
"Pekerjaan tidak bagus, terima kasih sudah mau bekerja sama, tapi terlambat.",-1
"Pekerjaan terlambat, pekerja tidak bertanggung jawab, komunikasi juga tidak lancar. Tidak direkomendasikan.",-1
Aaaaaaaaaaaaa,-1
Hasil pekerjaan sangat kurang teliti.,-1
lebih memperhatikan pemberitahuan requirement sehingga tidak ada pengulaang informasi.,-1
"oke sip. ini belum final ya? suaranya juga masih kurang bagus. masih perlu saya cek2 lagi. setelah saya cek dan sudah di revisi, barulah nanti di cek dosen. ",-1
kurang sesuai dengan ekspektasi,-1
Gak sesuai ekspektasi,-1
"Sorry to say.. menurut ku kurang recommend untuk uji selain univariat disini ???? agak price karna dihitungnya per tabel, makin banyak tabel jd makin mahal.. terus lepas tangan :( kalo udh di revisi mereka gamau revisi lg, itu pun aku udh minta tolong bgt karna uang ku udh keburu habis banyak disini ???? agak kecewa karna pas ditanya harga nya berapa sampe tabel, dijawabnya malah per uji.. jadi agak ngerasa ke tricky aja gitu sama mereka ???? tapi terimakasih udh bantuin dan mau revisi, kalau ditawarin mau uji disini lg sih kayak engga dulu ya ???????? terimakasih",-1
"Kecewa bgt sih, diawal diinfoinnya bisa dilolosin semua tapi pas udh jadi zonk bgt & diminta nambah uang 100k buat lolosin????????",-1
"Pembohong, jangan percaya!!!!",-1
Gak ada garansi. Buang buang duit malah hilang ulasannya. Cukup tahu. Gausah balas chat. Telen aja.,-1
Gk usah cari dari orang ini penipuan bintang dan uladannya hilang,-1
"Kalau kerja mohon kesabarannya, saya ga selalu online di projects.co.id 24 jam.",-1
"tidak sesuai dengan expertise, lebih cenderung ke berjangka/forex dibandingkan perencanaan keuangan, sebaiknya belajar melakukan riset terlebih dahulu sebelum accept project ini",-1
"Banyak typo, atau salah ketik kata.",-1
"Makin kesini, susunan kalimat artikelnya semakin amburadul. Cuma diawal saja yg keliatan bagus.",-1
kedepannya tolong lebih bagus yah .,-1
"kurang control kualitas nih, harusnya jangan banyak salah kalau sudah lama menulisnya :(",-1
Kerja oke. Timeline tertunda. Komunikasi kurang.,-1
"Untuk catatan, lebih diperhatikan lagi apa yang diinginkan customer. Tapi saya hargai masnya mau revisi, walaupun hasil revisinya masih belum sepenuhnya sesuai yang saya minta.",-1
"Pikirkan dulu matang matang sebelum menghire worker ini. Dia buat artikel sama sekali tidak mengindahkan apa yang saya minta dari awal, sangat jauh dengan apa yang saya suruh, padahal deskripsinya sudah sangat jelas (Detail Terlampir) bahkan ""LINK REVIEW"" pun sudah saya lampirkan, dia malah melampirkan artikel yang sudah ""EXPIRED"" dan berbeda dengan yg saya minta.  Diminta Revisi, malah bersikap tidak terima, dan mengatakan ""Baru kali ini saya ganti total 70% (Revisi)"". ""Loh saya juga baru kali ini ketemu penulis yang ga menjalankan sesuai permintan Klien"" dan apa yang saya minta hal yang wajar karna ga sesuai! Saya kira orang ini memang penulis profesional seperti banyak CV yang sudah dilampirkannya, tapi kenyataannya sangat jauh dari kenyataan!! adi orang ini sangat ""TIDAK REKOMENDED! Kalo ga percaya dengan Testimoni saya, Silahkan langsung kontak saya : Akan saya berikan semua Bukti nya.",-1
gak ada yg bisa saya katakan lagi....,-1
"Worker telah menulis secara panjang lebar, tapi pemahaman tentang spring bed masih kurang.",-1
Kualitas menurun dari artikel sebelumnya,-1
tidak memuaskan,-1
"tidak sesuai yang di harapkan pak, namun ok lah karena sudah bekerja keras",-1
Lebih diperhatikan lagi waktu pengerjaannya agar tidak melebihi deadline.,-1
Pekerjaanmu tidak sesuai dengan yang saya harapkan. Ada beberapa masalah yang perlu diperbaiki.,-1
"Komunikasi kita kurang baik, dan itu memengaruhi hasil akhir pekerjaan.",-1
"Sayang sekali, saya tidak bisa merekomendasikanmu untuk proyek berikutnya",-1
"Maaf, tapi saya harus mengatakan bahwa saya tidak puas dengan hasilnya",-1
Oke sip. Ini belum final ya? ,0
Ok pekerjaan tahap  pln prepaid telah di terima.,0
Bagus tapi tidak sesuai dengan keinginan saya.,0
"Sukses terus ya, Baarakallahufiikum",0
"Maaf merepotkan,",0
"Updrade teruss skill anda, jika benar ingin jadi designer grafis.. ",0
Bagus tapi dateline agak molor.,0
"Pekerjaanmu cukup baik, namun masih ada ruang untuk perbaikan",0
"Walaupun ada beberapa masalah kecil, secara keseluruhan, saya cukup puas dengan hasilnya.",0
"Pekerjaanmu sesuai dengan yang diharapkan, tanpa banyak sorotan positif atau negatif",0
Saya merasa bahwa ada beberapa aspek yang perlu diperhatikan lebih lanjut untuk peningkatan di masa mendatang.,0
"Pekerjaanmu memenuhi standar, namun tidak ada yang benar-benar menonjol dalam kinerja ini.",0
untuk hasilnya sesuai harapan tapi tidak sesuai target deadline...,0
Ana berharap kedepan nya lebih baik,0
"Kerjanya cepat. Responnya cepat. Hasilnya oke. Cuma kurang sreg sama satu hal, suka diburu-buruin untuk kasih feedback. Hal-hal lainnya cukup okelah, trims kerjasamanya.",0
ada beberapa bagian yang harus diperbaiki dan memerlukan penyesuaian. overall baik..,0
cukup sabar dan  untuk masukannya mungkin bisa bekerja lebih sepenuh hati,0
"Hasil bagus, tapi kurang memenuhi harapan saya. Lain kali tolong lebih teliti dalam membaca instruksi/request, dan sebaiknya kasih draft awal dulu, jadi owner bisa cek apakah yang akan digambar itu sudah sesuai dengan keinginan atau belum. Kalo tau dikasih hasil gambar sudah jadi begini, dimana waktu mepet (molor dari yang dijanjikan semula), mau minta revisi banyak juga sudah sulit. Padahal harga lebih tinggi daripada bid worker yang lain.",0
harap perhatikan time frame project dan detail kerapian komponen dasar,0
Pekerjan baik. Tapi tolong distate bapa saja yang menjadi ruang lingkup revisi.,0
"Kualitas tulisan standar saja, tidak ada yang istimewa. Kurang bisa menggunakan konjungsi antarkalimat. Antarkalimat kadang tidak nyambung, kurang beberapa kalimat untuk menghubungkan. Kurang expert terkait PayPal.",0
TYPO nya mungkin untuk kedepan lebih diperhatikan. Selain itu sudah bagus banget,0
"oke, keep improving yah",0
"oke, kedepannya lebih baik lagi :)",0
"Banyak typo, selain itu cukup baik. ",0
bagus tapi tidak sesuai dengan keinginan saya,0
Catatan Tambahan: Semoga ke depannya worker bisa lebih ramah :) Semoga ke depannya worker bisa lebih teliti membaca project yang telah disampaikan dan lebih teliti akan keiinginan pemberi prroject. Terima kasih telah memberikan beberapa revisi meskipun masih ada beberapa kekurangan dan tidak kesesuaian. Terima Kasih atas kerjasamnya.,0
"Untuk pembuatan modul menggunakan MS. Word cukup rapi dan baik, semoga taste desainnya ke depan bisa lebih baik lagi di proyek yang lain. Respon cepat dan sangat kooperatif untuk revisi.",0
"Pelayanan yang diberikan cukup memuaskan, namun ada beberapa hal yang kurang terperhatikan",0
"Tidak ada masalah signifikan yang terjadi, namun masih ada ruang untuk perbaikan di masa mendatang",0
"Komunikasi cukup baik, meskipun perlu diperbaiki untuk mencapai tingkat yang lebih baik.",0
"Waktu pengiriman sesuai dengan yang dijanjikan, namun ada beberapa kekurangan dalam hasil akhir.",0
". Revisi telah dilakukan, tetapi masih ada beberapa aspek yang perlu ditinjau ulang.",0
". Pekerjaan selesai tepat waktu, tetapi ada beberapa kesalahan yang perlu diperbaiki.",0
". Hasil pekerjaan cukup memadai, meskipun tidak ada yang istimewa.",0
". Ada beberapa bagian yang memerlukan penyesuaian, namun secara keseluruhan pekerjaan dilakukan dengan baik.",0
". Ada beberapa pertanyaan yang belum terjawab, tetapi secara keseluruhan layanan diberikan dengan baik.",0
". Komunikasi cukup jelas, tetapi ada beberapa ketidaksesuaian dengan harapan.",0
". Ada sedikit kebingungan dalam pelaksanaan proyek, namun akhirnya berhasil diselesaikan.",0
"0. Pekerjaan selesai dengan baik, namun ada beberapa kekurangan yang perlu diperbaiki.",0
". Tidak ada masalah besar yang terjadi, tetapi ada beberapa hal kecil yang perlu diperhatikan.",0
". Ada beberapa revisi yang dilakukan, namun masih ada beberapa perbaikan yang harus dilakukan.",0
". Pekerjaan diselesaikan tepat waktu, namun ada beberapa ketidaksesuaian dengan permintaan awal.",0
". Hasil pekerjaan memenuhi standar yang diharapkan, tetapi tidak ada yang menonjol.",0
". Pekerjaan selesai dengan baik, tetapi ada beberapa kesalahan yang perlu diperbaiki.",0
". Komunikasi cukup lancar, namun ada beberapa ketidaksesuaian dengan permintaan.",0
". Tidak ada masalah besar yang terjadi, tetapi masih ada beberapa hal yang perlu diperbaiki.",0
". Revisi telah dilakukan, tetapi masih ada beberapa aspek yang kurang memuaskan.",0
". Pekerjaan diselesaikan dengan baik, namun ada beberapa kekurangan yang perlu diperhatikan.",0
"Waktu pengiriman tepat waktu, namun ada beberapa ketidaksesuaian dengan permintaan.",0
". Pelayanan yang diberikan memuaskan, meskipun ada beberapa kekurangan yang perlu diperhatikan.",0
". Ada beberapa revisi yang dilakukan, tetapi masih ada beberapa kekurangan yang perlu diperbaiki.",0
". Proses pelaksanaan proyek cukup lancar, namun ada beberapa area yang perlu diperbaiki.",0
". Hasil pekerjaan memadai, tetapi ada beberapa kekurangan yang perlu diperhatikan.",0
". Komunikasi cukup baik, namun ada beberapa kebingungan yang perlu diatasi.",0
". Tidak ada masalah besar yang terjadi, tetapi ada beberapa hal kecil yang perlu diperbaiki.",0
". Pekerjaan selesai dengan baik, tetapi ada beberapa ketidaksesuaian dengan permintaan awal.",0
". Hasil pekerjaan memenuhi standar yang diharapkan, tetapi tidak ada yang menonjol.",0
". Pekerjaan selesai dengan baik, namun ada beberapa kesalahan yang perlu diperbaiki.",0
"0. Ada beberapa revisi yang dilakukan, tetapi masih ada beberapa aspek yang kurang memuaskan.",0
". Pekerjaan diselesaikan dengan baik, namun ada beberapa kekurangan yang perlu diperhatikan.",0
". Waktu pengiriman tepat waktu, namun ada beberapa ketidaksesuaian dengan permintaan.",0
". Pelayanan yang diberikan memuaskan, meskipun ada beberapa kekurangan yang perlu diperhatikan.",0
". Ada beberapa revisi yang dilakukan, tetapi masih ada beberapa kekurangan yang perlu diperbaiki.",0
". Proses pelaksanaan proyek cukup lancar, namun ada beberapa area yang perlu diperbaiki.",0
". Hasil pekerjaan memadai, tetapi ada beberapa kekurangan yang perlu diperhatikan.",0
". Komunikasi cukup baik, namun ada beberapa kebingungan yang perlu diatasi.",0
". Tidak ada masalah besar yang terjadi, tetapi ada beberapa hal kecil yang perlu diperbaiki.",0
". Pekerjaan selesai dengan baik, tetapi ada beberapa ketidaksesuaian dengan permintaan awal.",0
"0. Hasil pekerjaan memenuhi standar yang diharapkan, tetapi tidak ada yang menonjol.",0
". Pekerjaan selesai dengan baik, namun ada beberapa kesalahan yang perlu diperbaiki.",0
". Ada beberapa revisi yang dilakukan, tetapi masih ada beberapa aspek yang kurang memuaskan.",0
". Pekerjaan diselesaikan dengan baik, namun ada beberapa kekurangan yang perlu diperhatikan.",0
". Waktu pengiriman tepat waktu, namun ada beberapa ketidaksesuaian dengan permintaan.",0
". Pelayanan yang diberikan memuaskan, meskipun ada beberapa kekurangan yang perlu diperhatikan.",0
